600,,,,,,,
2500,,,,,,,
4200,,,,,,,
9700,,,,,,,
,,,,,,,
,,,,,,,

Weapon:,Variable:,Comments:,,Per-Level Data:,,,
,MaxRange,,55,55,55,55,55
,IdealRange,Doubles as default range of lob,16,16,16,16,16
,AutoAim,Default height of lob,2,2,2,2,2
,Damage,grenade damage,10,12,14,16,18
,AltDamage,bomblet damage,0,0,2,3,4
,Knockback,grenade knockback,2,2,2,2,3
,AOE,grenade blast radius,8,8,10,10,12
,RateOfFire,,1,1,1,1,1
,RotationJoint,,2,2,2,2,2
,XP,,0.0,1800.0,5400.0,12600.0,20000.0
,SpawnChance,,3.0,3.0,3.0,3.0,3.0
,,,,,,,
,,,,,,,
WPN_FLAMETHROWER,,,,,,,
,NameTag,,ITEM_WEAPON_PYROCITER,,,,
,UpgradeNameTag,,ITEM_WEAPON_PYROCITER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_PYROCITER_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_PYROCITER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,6,7,8,9,10
,AltDamage,damage per second to enemies caught on fire,0,1,1,2,3
,Duration,time the flame lasts for enemies caught on fire,0,0,6,6,6
,Knockback,,0,0,0,0,0
,AutoAim,,0,0,0,0,0
,RateOfFire,,10,10,10,10,10
,MaxRange,Targeting range,15,18,20,20,20
,IdealRange,Flame range,15,18,20,20,20
,MaxAmmo,1 ammo used per second,20,25,30,35,50
,CrateAmmo,,20,25,30,35,50
,Misc,speed of flame,25,25,25,25,25
,RotationJoint,,2,2,2,2,2
,XP,,0.0,324.0,945.0,2160.0,4960.0
,SpawnChance,,1.5,1.5,1.5,1.5,1.5
,,,,,,,
,,,,,,,
,,,,,,,
WPN_RYNO,,,,,,,
,NameTag,,ITEM_WEAPON_RYNO,,,,
,UpgradeNameTag,,ITEM_WEAPON_RYNO_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_RYNO_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_RYNO_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,12.0,12.0,12.0,12.0,12.0
,Knockback,,3,3,3,3,3
,AutoAim,,1,1,1,1,1
,RateOfFire,,4,4,4,4,4
,AOE,,2,2,2,2,2
,MaxAmmo,,12,12,12,12,12
,CrateAmmo,,12,12,12,12,12
,MaxRange,,50,50,50,50,50
,IdealRange,,20,20,20,20,20
,RotationJoint,,0,0,0,0,0
,XP,,0.0,600.0,2500.0,4200.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
,,,,,,,
WPN_CRITTER_STRIKE,,,,,,,
,NameTag,,ITEM_WEAPON_CRITTER_STRIKE,,,,
,UpgradeNameTag,,ITEM_WEAPON_CRITTER_STRIKE_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_CRITTER_STRIKE_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_CRITTER_STRIKE_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,"default ""critter hp"" damage per second for enemies that don't have a FreezeTime",6,7,8,9,10
,Knockback,,0,0,0,0,0
,RateOfFire,,10,10,10,10,10
,IdealRange,,15,15,15,15,15
,MaxRange,,55,55,55,55,55
,MaxAmmo,,30,60,60,60,60
,CrateAmmo,,30,60,60,60,60
,RotationJoint,,2,2,2,2,2
,XP,,0.0,600.0,2500.0,4200.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
,,,,,,,
,,,,,,,
WPN_GROOVITRON,,,,,,,
,NameTag,,ITEM_WEAPON_GROOVITRON,,,,
,UpgradeNameTag,,ITEM_WEAPON_GROOVITRON_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_GROOVITRON_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_GROOVITRON_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Damage done by upgraded version on drop,0,0,10,10,10
,Knockback,Knockback of upgraded version on drop,0,0,2,2,2
,RateOfFire,,1,1,1,1,1
,IdealRange,,15,15,15,15,15
,MaxRange,,24,24,24,24,24
,MaxAmmo,,1,2,2,3,4
,CrateAmmo,,1,2,2,3,4
,RotationJoint,,2,2,2,2,2
,AOE,affected area radius and radius of upgraded explosion,10,10,10,10,12
,Duration,length of effect,10.0,10.0,15.0,20.0,20.0
,IdealRange,,2,,,,
,XP,,0.0,200.0,1000.0,1800.0,2600.0
,AutoAim,trajectory height,2,2,2,2,2
,SpawnChance,,0.8,0.8,0.8,0.8,0.8
,,,,,,,
WPN_PREDATOR,,,,,,,
,NameTag,,ITEM_WEAPON_PREDATOR,,,,
,UpgradeNameTag,,ITEM_WEAPON_PREDATOR_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_PREDATOR_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_PREDATOR_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,14,16.7,19.3,22,11
,Knockback,,2,2,2,2,2
,RateOfFire,,0.8,0.8,0.8,0.8,0.8
,IdealRange,,45,45,45,45,45
,MaxRange,,75,75,75,75,75
,MaxAmmo,,8,12,15,21,21
,CrateAmmo,,4,6,8,10,21
,RotationJoint,,2,2,2,2,2
,AOE,,10,10,10,10,10
,Duration,,10.0,10.0,10.0,10.0,10.0
,SpawnCount,,2,3,5,7,7
,XP,,0.0,1008.0,3006.0,6948.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
WPN_BUZZ_BLADES,,,,,,,
,NameTag,,ITEM_WEAPON_BUZZ_BLADES,,,,
,UpgradeNameTag,,ITEM_WEAPON_BUZZ_BLADES_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_BUZZ_BLADES_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_BUZZ_BLADES_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Direct impact damage,4,5,6,7,8
,IdealRange,,20,20,20,20,20
,MaxRange,,75,75,75,75,75
,Knockback,Direct impact knockback,1,1,1,1,1
,AutoAim,,1,1,1,1,1
,RateOfFire,shots per second,3,3,3,4,4
,MaxAmmo,,30,35,40,45,50
,CrateAmmo,,30,35,40,45,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RotationJoint,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AOE,Upgraded version explosion radius,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AltDamage,Upgraded version explosion damage,0,0,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP,,0,1620,5063,12150,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Misc,Max number of bounces,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpawnChance,,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_SUBWOOFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_WEAPON_SUBWOOFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UpgradeNameTag,,ITEM_WEAPON_SUBWOOFER_UPGRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_WEAPON_SUBWOOFER_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UpgradeDescTag,,ITEM_WEAPON_SUBWOOFER_UPGRADE_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaDescTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AmmoNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AmmoPluralNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HelpTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP,,0,3375,10125,20250,30250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Damage,Minimum Damage,10.0,12,12,14,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AOE,Width of cone at max range,12.0,14.0,16.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Range,,15,18,21,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knockback,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AutoAim,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RateOfFire,,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MaxAmmo,,15,15,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CrateAmmo,,15,15,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpawnChance,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RotationJoint,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Misc,Delay before upgraded version does gunk damage,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AltDamage,Upgraded gunk damage (it stacks),0,0,6,7,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_SWARMER,,,,,,,
,NameTag,,ITEM_ENEMY_SWARMER,,,,
,,,,,,,
WPN_BRAWLER,,,,,,,
,NameTag,,ITEM_ENEMY_BRAWLER,,,,
,,,,,,,
WPN_SHOOTER,,,,,,,
,NameTag,,ITEM_ENEMY_SHOOTER,,,,
,,,,,,,
WPN_BOMBER,,,,,,,
,NameTag,,ITEM_ENEMY_BOMBER,,,,
,,,,,,,
WPN_TANK,,,,,,,
,NameTag,,ITEM_ENEMY_TANK,,,,

WPN_SWINGSHOT,,,,,,,
,NameTag,,ITEM_GADGET_SWINGSHOT,,,,
,DescTag,,ITEM_GADGET_SWINGSHOT_DESC,,,,
