,Damage,"default ""freeze hp"" damage per second for enemies that don't have a FreezeTime",5,8,12,15,20
,AltDamage,damage from max level shatter,0,0,5,5,5
,Knockback,knockback from max level shatter,0,0,2,2,2
,RateOfFire,,4,8,16,16,16
,MaxRange,,75,100,150,200,275
,IdealRange,,50,50,75,100,135
,MaxAmmo,,30,60,120,240,480
,CrateAmmo,,30,60,120,240,480
,RotationJoint,,2,2,2,2,2
,XP,,0.0,900.0,3600.0,10800.0,20000.0
,SpawnChance,,2.0,2.0,2.0,2.0,2.0
,,,,,,,
,,,,,,,
WPN_THUNDERSTRIKE,,,,,,,
,NameTag,,ITEM_WEAPON_THUNDERSMACK,,,,
,UpgradeNameTag,,ITEM_WEAPON_THUNDERSMACK_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_THUNDERSMACK_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_THUNDERSMACK_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Lightning damage,5,10,15,20,25
,AltDamage,Damage from tornados at max level,0,0,0,0,0
,AOE,Max Range of cloud to hit enemies with lightning,15,20,30,40,60
,Duration,Cloud duration (w/o being merged),15,20,30,40,60
,Misc,Turret HP,1000000,1000000,1000000,1000000,1000000
,IdealRange,,15,18.3,21.7,25,25
,MaxRange,Max Range to target other clouds,40,60,80,120,160
,Knockback,Lightning knockback,2,2,2,2,2
,AutoAim,trajectory height,2,2,2,2,2
,RateOfFire,throw rate (not lightning rate),2,4,6,6,10
,SpawnCount,max number of lightning strikes per cloud,1000,1000,1000,1000,1000
,MaxAmmo,,10,20,30,100,300
,CrateAmmo,,10,20,30,100,300
,RotationJoint,,2,2,2,2,2
,XP,,0.0,946.0,2835.0,6751.0,8730.0
,SpawnChance,,0.5,0.5,0.5,0.5,0.5
,,,,,,,
,,,,,,,
,,,,,,,
WPN_ZURKON,,,,,,,
,NameTag,,ITEM_GADGET_MRZURKON,,,,
,UpgradeNameTag,,ITEM_GADGET_MRZURKON_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_GADGET_MRZURKON_DESC,,,,
,UpgradeDescTag,,ITEM_GADGET_MRZURKON_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Mr Zurkon damage per shot,2,4,6,8,10
,AltDamage,Mr Zurkon mini-nuke damage when destroyed,0,0,20,30,40
,Knockback,Mr Zurkon knockback per shot,0.5,0.5,0.5,0.5,0.5
,RateOfFire,how frequently ratchet can throw a Mr Zurkon,1,1,1,1,1
,AOE,mini-nuke AOE,0,0,10,30,60
,MaxRange,target range for Mr Zurkon,32,40,60,100,120
,Misc,rate of fire for Mr Zurkon,4,6,8,10,12
,SpawnCount,how many shots does Mr Zurkon get?,100,200,300,500,600
,Duration,HITPOINTS for Mr Zurkon,25,30,35,45,50
,MaxAmmo,,4,4,4,5,5
,CrateAmmo,,4,4,4,5,5
,RotationJoint,,4,4,4,4,4
,XP,,0.0,540.0,2700.0,5400.0,9700.0
,SpawnChance,,0.5,0.5,0.5,0.5,0.5
,,,,,,,
,,,,,,,
WPN_GRENADE_LAUNCHER,,,,,,,
,NameTag,,ITEM_WEAPON_PLASMABOMB_LAUNCHER,,,,
,UpgradeNameTag,,ITEM_WEAPON_PLASMABOMB_LAUNCHER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_PLASMABOMB_LAUNCHER_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_PLASMABOMB_LAUNCHER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,MaxAmmo,,100,200,300,400,500
,CrateAmmo,,100,200,300,400,500
,MaxRange,,55,100,150,200,300
,IdealRange,Doubles as default range of lob,16,20,30,60,100
,AutoAim,Default height of lob,2,2,2,2,2
,Damage,grenade damage,10,20,30,30,40
,AltDamage,bomblet damage,0,0,2.5,5,10
,Knockback,grenade knockback,2,2,3,4,5
,AOE,grenade blast radius,8,8,10,12,16
,RateOfFire,,1,2,4,8,10
,RotationJoint,,2,2,2,2,2
,XP,,0.0,1800.0,5400.0,12600.0,20000.0
,SpawnChance,,3.0,3.0,3.0,3.0,3.0
,,,,,,,
,,,,,,,
WPN_FLAMETHROWER,,,,,,,
,NameTag,,ITEM_WEAPON_PYROCITER,,,,
,UpgradeNameTag,,ITEM_WEAPON_PYROCITER_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_PYROCITER_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_PYROCITER_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,10,20,30,40,50
,AltDamage,damage per second to enemies caught on fire,0,1,3,7,10
,Duration,time the flame lasts for enemies caught on fire,0,0,6,6,6
,Knockback,,0,0,0,0,0
,AutoAim,,0,1,2,3,3
,RateOfFire,,10,10,10,10,10
,MaxRange,Targeting range,15,18,25,30,40
,IdealRange,Flame range,15,18,25,30,40
,MaxAmmo,1 ammo used per second,50,100,200,300,450
,CrateAmmo,,50,100,200,300,450
,Misc,speed of flame,25,30,40,40,50
,RotationJoint,,2,2,2,2,2
,XP,,0.0,324.0,945.0,2160.0,4960.0
,SpawnChance,,1.5,1.5,1.5,1.5,1.5
,,,,,,,
,,,,,,,
,,,,,,,
WPN_RYNO,,,,,,,
,NameTag,,ITEM_WEAPON_RYNO,,,,
,UpgradeNameTag,,ITEM_WEAPON_RYNO_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_RYNO_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_RYNO_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,12.0,12.0,12.0,12.0,12.0
,Knockback,,3,3,3,3,3
,AutoAim,,1,1,1,1,1
,RateOfFire,,4,4,4,4,4
,AOE,,2,2,2,2,2
,MaxAmmo,,12,12,12,12,12
,CrateAmmo,,12,12,12,12,12
,MaxRange,,50,50,50,50,50
,IdealRange,,20,20,20,20,20
,RotationJoint,,0,0,0,0,0
,XP,,0.0,600.0,2500.0,4200.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
,,,,,,,
WPN_CRITTER_STRIKE,,,,,,,
,NameTag,,ITEM_WEAPON_CRITTER_STRIKE,,,,
,UpgradeNameTag,,ITEM_WEAPON_CRITTER_STRIKE_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_CRITTER_STRIKE_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_CRITTER_STRIKE_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,"default ""critter hp"" damage per second for enemies that don't have a FreezeTime",6,7,8,9,10
,Knockback,,0,0,0,0,0
,RateOfFire,,10,10,10,10,10
,IdealRange,,15,15,15,15,15
,MaxRange,,55,55,55,55,55
,MaxAmmo,,30,60,60,60,60
,CrateAmmo,,30,60,60,60,60
,RotationJoint,,2,2,2,2,2
,XP,,0.0,600.0,2500.0,4200.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
,,,,,,,
,,,,,,,
WPN_GROOVITRON,,,,,,,
,NameTag,,ITEM_WEAPON_GROOVITRON,,,,
,UpgradeNameTag,,ITEM_WEAPON_GROOVITRON_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_GROOVITRON_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_GROOVITRON_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Damage done by upgraded version on drop,0,0,10,25,50
,Knockback,Knockback of upgraded version on drop,0,0,2,2,2
,RateOfFire,,1,1,1,1,1
,IdealRange,,15,15,15,15,15
,MaxRange,,24,50,50,50,75
,MaxAmmo,,1,2,2,3,4
,CrateAmmo,,1,2,2,3,4
,RotationJoint,,2,2,2,2,2
,AOE,affected area radius and radius of upgraded explosion,10,20,30,40,75
,Duration,length of effect,10.0,15.0,25.0,50.0,60.0
,IdealRange,,2,,,,
,XP,,0.0,200.0,1000.0,1800.0,2600.0
,AutoAim,trajectory height,2,2,2,2,2
,SpawnChance,,0.8,0.8,0.8,0.8,0.8
,,,,,,,
WPN_PREDATOR,,,,,,,
,NameTag,,ITEM_WEAPON_PREDATOR,,,,
,UpgradeNameTag,,ITEM_WEAPON_PREDATOR_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_PREDATOR_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_PREDATOR_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,,14,16.7,19.3,22,11
,Knockback,,2,2,2,2,2
,RateOfFire,,0.8,0.8,0.8,0.8,0.8
,IdealRange,,45,45,45,45,45
,MaxRange,,75,75,75,75,75
,MaxAmmo,,8,12,15,21,21
,CrateAmmo,,4,6,8,10,21
,RotationJoint,,2,2,2,2,2
,AOE,,10,10,10,10,10
,Duration,,10.0,10.0,10.0,10.0,10.0
,SpawnCount,,2,3,5,7,7
,XP,,0.0,1008.0,3006.0,6948.0,9700.0
,SpawnChance,,1.0,1.0,1.0,1.0,1.0
,,,,,,,
WPN_BUZZ_BLADES,,,,,,,
,NameTag,,ITEM_WEAPON_BUZZ_BLADES,,,,
,UpgradeNameTag,,ITEM_WEAPON_BUZZ_BLADES_UPGRADE,,,,
,MegaNameTag,,,,,,
,DescTag,,ITEM_WEAPON_BUZZ_BLADES_DESC,,,,
,UpgradeDescTag,,ITEM_WEAPON_BUZZ_BLADES_UPGRADE_DESC,,,,
,MegaDescTag,,,,,,
,AmmoNameTag,,,,,,
,AmmoPluralNameTag,,,,,,
,HelpTag,,,,,,
,Damage,Direct impact damage,4,6,10,15,20
,IdealRange,,20,20,20,20,20
,MaxRange,,75,100,150,200,200
,Knockback,Direct impact knockback,1,1,1,1,1
,AutoAim,,1,1,1,1,1
,RateOfFire,shots per second,3,5,10,20,30
,MaxAmmo,,60,100,300,500,1000
,CrateAmmo,,60,100,300,500,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RotationJoint,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AOE,Upgraded version explosion radius,0,0,6,10,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AltDamage,Upgraded version explosion damage,0,0,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP,,0,1620,5063,12150,16000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Misc,Max number of bounces,1,2,4,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpawnChance,,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_SUBWOOFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_WEAPON_SUBWOOFER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UpgradeNameTag,,ITEM_WEAPON_SUBWOOFER_UPGRADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_WEAPON_SUBWOOFER_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UpgradeDescTag,,ITEM_WEAPON_SUBWOOFER_UPGRADE_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MegaDescTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AmmoNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AmmoPluralNameTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HelpTag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,XP,,0,3375,10125,20250,30250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Damage,Minimum Damage,10.0,15,20,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AOE,Width of cone at max range,12.0,20.0,30.0,35.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Range,,15,22,34,37,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Knockback,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AutoAim,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RateOfFire,,1.5,2,3,6,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MaxAmmo,,20,30,40,50,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CrateAmmo,,20,30,40,50,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SpawnChance,,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,RotationJoint,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Misc,Delay before upgraded version does gunk damage,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AltDamage,Upgraded gunk damage (it stacks),0,0,6,10,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_SWARMER,,,,,,,
,NameTag,,ITEM_ENEMY_SWARMER,,,,
,,,,,,,
WPN_BRAWLER,,,,,,,
,NameTag,,ITEM_ENEMY_BRAWLER,,,,
,,,,,,,
WPN_SHOOTER,,,,,,,
,NameTag,,ITEM_ENEMY_SHOOTER,,,,
,,,,,,,
WPN_BOMBER,,,,,,,
,NameTag,,ITEM_ENEMY_BOMBER,,,,
,,,,,,,
WPN_TANK,,,,,,,
,NameTag,,ITEM_ENEMY_TANK,,,,

WPN_SWINGSHOT,,,,,,,
,NameTag,,ITEM_GADGET_SWINGSHOT,,,,
,DescTag,,ITEM_GADGET_SWINGSHOT_DESC,,,,
