WPN_WEAK_BARRICADE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_PLASMA_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_PLASMA_MINE_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AwarenessRange,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DamageRange,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DamageRate,75% of this is applied to initial explosion - the rest to damage over time for the Duration,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duration,time the damage over time lasts and time after explosion before mine can be rearmed,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_MORPH_TRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_MORPH_TRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_MORPH_TRAP_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AwarenessRange,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DamageRange,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DamageRate,,250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duration,time after explosion before mine can be rearmed,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_GROOVITRON_TRAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_GROOV_MINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_GROOV_MINE_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AwarenessRange,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DamageRange,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Duration,time the dance lasts and time after explosion before mine can be rearmed,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WPN_COMBUSTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NameTag,,ITEM_DEFENSE_COMBUSTER_TURRET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DescTag,,ITEM_DEFENSE_COMBUSTER_TURRET_DESC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AwarenessRange,,35.0,,,,
,ClipSize,,10.0,,,,
,ClipReloadTime,,5.0,,,,
,RateOfFire,,2.0,,,,
,EnemyDamage,,2.0,,,,
,Health,,40.0,,,,
,,,,,,,
WPN_FLAMETHROWER,,,,,,,
,NameTag,,ITEM_DEFENSE_FLAME_TURRET,,,,
,DescTag,,ITEM_DEFENSE_FLAME_TURRET_DESC,,,,
,AwarenessRange,,12.0,,,,
,ClipSize,,4.0,,,,
,ClipReloadTime,,3.0,,,,
,RateOfFire,,0.8,,,,
,EnemyDamage,per second for flamethrower,1.5,,,,
,Health,,40.0,,,,
,,,,,,,
WPN_ROCKET_LAUNCHER,,,,,,,
,NameTag,,ITEM_DEFENSE_ROCKET_TURRET,,,,
,DescTag,,ITEM_DEFENSE_ROCKET_TURRET_DESC,,,,
,AwarenessRange,,40.0,,,,
,ClipSize,,4.0,,,,
,ClipReloadTime,,5.0,,,,
,RateOfFire,,0.2,,,,
,EnemyDamage,,12.0,,,,
,Health,,40.0,,,,

WPN_ICE_BEAM,,,,,,,
,NameTag,,ITEM_DEFENSE_CRYO_TURRET,,,,
,DescTag,,ITEM_DEFENSE_CRYO_TURRET_DESC,,,,
,AwarenessRange,,25.0,,,,
,ClipSize,,4.0,,,,
,ClipReloadTime,,4.0
,RateOfFire,,1.0
,EnemyDamage,,12.0
,Health,,40.0
